date,open_price,close_price,max_price,min_price
03-03-2025,3300,3370,3700,3020
04-03-2025,3350,3190,3350,3130
05-03-2025,3150,3440,3500,3150
06-03-2025,3530,3610,3900,3530
07-03-2025,3640,4510,4510,3640
10-03-2025,4450,3750,4450,3700
11-03-2025,3600,4600,4680,3500
12-03-2025,4700,4670,5375,4550
13-03-2025,4700,4800,5100,4670
14-03-2025,4850,4650,5050,4550
17-03-2025,4650,4290,4900,4200
18-03-2025,4290,3930,4900,3780
19-03-2025,4000,4270,4500,3720
20-03-2025,4330,4170,4520,4030
21-03-2025,4180,3750,4180,3750
24-03-2025,3750,3730,4270,3420
25-03-2025,3730,3690,4100,3650
26-03-2025,3700,3780,4050,3700
27-03-2025,3780,3710,3910,3690
08-04-2025,3270,3160,3430,3160
09-04-2025,3160,3950,3950,3160
10-04-2025,3950,4000,4710,3570
11-04-2025,4000,3970,4290,3850
14-04-2025,3970,3900,3970,3730
15-04-2025,3880,3870,4040,3800
16-04-2025,4000,3950,4350,3900
17-04-2025,4090,3950,4240,3850
